0.16	0.18
2.9117
2.9700	2.9060
3.0177	2.9610
3.0579	3.0068
3.0923	3.0458
3.1223	3.0796
3.1489	3.1094
3.1727	3.1359
3.1943	3.1598
3.2141	3.1816
3.2323	3.2016
3.2492	3.2201
3.2651	3.2374
3.2800	3.2536
3.2941	3.2689
3.3076	3.2834
3.3204	3.2973
3.3328	3.3105
3.3447	3.3233
3.3563	3.3357
3.3675	3.3477
3.3785	3.3594
3.3893	3.3709
3.3999	3.3821
3.4105	3.3933
3.4209	3.4043
3.4314	3.4154
3.4418	3.4264
3.4524	3.4375
3.4631	3.4488
3.4741	3.4602
3.4853	3.4720
3.4970	3.4842
3.5092	3.4970
3.5221	3.5104
3.5360	3.5249
3.5513	3.5408
3.5686	3.5588
3.5891	3.5799
3.6150	3.6066
3.6537	3.6464
