	0.02
0.10	2.45470.12	2.4907
0.14	2.5198
0.16	2.5441
0.18	2.5650
0.20	2.5833
0.22	2.5997
0.24	2.6144
0.26	2.6278
0.28	2.6402
0.30	2.6517
0.32	2.6625
0.34	2.6727
0.36	2.6823
0.38	2.6915
0.40	2.7003
0.42	2.7088
0.44	2.7170
0.46	2.7249
0.48	2.7326
0.50	2.7402
0.52	2.7476
0.54	2.7548
0.56	2.7620
0.58	2.7691
0.60	2.7762
0.62	2.7833
0.64	2.7904
0.66	2.7975
0.68	2.8046
0.70	2.8119
0.72	2.8193
0.74	2.8269
0.76	2.8347
0.78	2.8428
0.80	2.8512
0.82	2.8601
0.84	2.8695
0.86	2.8797
0.88	2.8908
0.90	2.9032
0.92	2.9176
0.94	2.9348
0.96	2.9573
0.98	2.9919