	0.00
0.10	0.59850.12	0.6509
0.14	0.6979
0.16	0.7406
0.18	0.7796
0.20	0.8155
0.22	0.8487
0.24	0.8795
0.26	0.9081
0.28	0.9348
0.30	0.9597
0.32	0.9829
0.34	1.0047
0.36	1.0250
0.38	1.0439
0.40	1.0616
0.42	1.0782
0.44	1.0935
0.46	1.1078
0.48	1.1211
0.50	1.1334
0.52	1.1447
0.54	1.1552
0.56	1.1647
0.58	1.1734
0.60	1.1813
0.62	1.1884
0.64	1.1947
0.66	1.2003
0.68	1.2052
0.70	1.2094
0.72	1.2130
0.74	1.2159
0.76	1.2183
0.78	1.2202
0.80	1.2216
0.82	1.2226
0.84	1.2232
0.86	1.2236
0.88	1.2238
0.90	1.2239
0.92	1.2239
0.94	1.2239
0.96	1.2239
0.98	1.2239
1.00	1.2239